date,Trump,Clinton
2016/6/1,42.5,44.0
2016/6/2,42.3,43.8
2016/6/3,42.3,43.8
2016/6/4,42.3,43.8
2016/6/5,42.3,43.8
2016/6/6,42.0,44.0
2016/6/7,42.0,44.0
2016/6/8,41.0,44.1
2016/6/9,40.3,44.1
2016/6/10,40.3,44.1
2016/6/11,39.2,43.7
2016/6/12,39.2,43.7
2016/6/13,38.8,43.3
2016/6/14,38.6,44.1
2016/6/15,38.4,44.0
2016/6/16,38.3,44.1
2016/6/17,38.3,44.1
2016/6/18,39.1,44.9
2016/6/19,39.1,44.9
2016/6/20,38.9,44.8
2016/6/21,39.2,45.0
2016/6/22,39.2,45.0
2016/6/23,39.4,45.3
2016/6/24,39.4,45.3
2016/6/25,39.3,45.9
2016/6/26,39.4,46.1
2016/6/27,39.6,46.4
2016/6/28,39.0,45.8
2016/6/29,39.0,45.1
2016/6/30,39.8,44.6
2016/7/1,39.8,44.6
2016/7/2,40.3,44.8
2016/7/3,40.3,44.8
2016/7/4,40.3,44.9
2016/7/5,40.3,44.9
2016/7/6,40.6,45.4
2016/7/7,40.9,45.6
2016/7/8,40.9,45.6
2016/7/9,40.9,45.6
2016/7/10,40.9,45.4
2016/7/11,40.9,45.4
2016/7/12,40.9,45.4
2016/7/13,40.7,45.0
2016/7/14,40.9,44.0
2016/7/15,40.4,43.1
2016/7/16,40.4,43.1
2016/7/17,40.6,43.8
2016/7/18,40.6,43.8
2016/7/19,41.1,43.8
2016/7/20,41.1,43.9
2016/7/21,41.3,44.0
2016/7/22,41.6,44.2
2016/7/23,42.6,44.6
2016/7/24,43.3,44.7
2016/7/25,44.3,44.1
2016/7/26,45.6,44.7
2016/7/27,45.7,44.6
2016/7/28,45.6,44.7
2016/7/29,44.3,44.3
2016/7/30,43.3,43.7
2016/7/31,43.4,44.5
2016/8/1,42.0,45.9
2016/8/2,42.0,46.4
2016/8/3,41.6,47.3
2016/8/4,40.6,47.4
2016/8/5,40.5,47.3
2016/8/6,40.4,47.3
2016/8/7,40.5,47.5
2016/8/8,40.1,47.3
2016/8/9,39.9,47.8
2016/8/10,40.3,48.0
2016/8/11,40.5,47.4
2016/8/12,41.2,47.5
2016/8/13,41.0,47.8
2016/8/14,41.0,47.8
2016/8/15,41.0,47.8
2016/8/16,41.0,47.7
2016/8/17,41.2,47.2
2016/8/18,41.2,47.0
2016/8/19,41.2,47.2
2016/8/20,41.3,47.0
2016/8/21,41.5,46.8
2016/8/22,41.5,47.0
2016/8/23,41.5,47.0
2016/8/24,41.8,47.2
2016/8/25,41.7,47.7
2016/8/26,42.3,48.3
2016/8/27,42.1,48.4
2016/8/28,42.3,48.3
2016/8/29,41.3,47.2
2016/8/30,41.7,46.7
2016/8/31,42.0,46.6
2016/9/1,41.9,46.8
2016/9/2,42.0,46.1
2016/9/3,42.1,46.0
2016/9/4,42.1,46.0
2016/9/5,42.3,45.9
2016/9/6,42.9,46.2
2016/9/7,42.8,45.9
2016/9/8,42.8,45.6
2016/9/9,42.9,45.6
2016/9/10,42.9,45.6
2016/9/11,42.9,46.0
2016/9/12,43.1,45.9
2016/9/13,43.4,45.8
2016/9/14,43.8,46.1
2016/9/15,44.2,45.7
2016/9/16,,
2016/9/17,,
2016/9/18,,
2016/9/19,,
2016/9/20,,
2016/9/21,,
2016/9/22,,
2016/9/23,,
2016/9/24,,
2016/9/25,,
2016/9/26,,
2016/9/27,,
2016/9/28,,
2016/9/29,,
2016/9/30,,
2016/10/1,,
2016/10/2,,
2016/10/3,,
2016/10/4,,
2016/10/5,,
2016/10/6,,
2016/10/7,,
2016/10/8,,
2016/10/9,,
2016/10/10,,
2016/10/11,,
2016/10/12,,
2016/10/13,,
2016/10/14,,
2016/10/15,,
2016/10/16,,
2016/10/17,,
2016/10/18,,
2016/10/19,,
2016/10/20,,
2016/10/21,,
2016/10/22,,
2016/10/23,,
2016/10/24,,
2016/10/25,,
2016/10/26,,
2016/10/27,,
2016/10/28,,
2016/10/29,,
2016/10/30,,
2016/10/31,,
2016/11/1,,
2016/11/2,,
2016/11/3,,
2016/11/4,,
2016/11/5,,
2016/11/6,,
2016/11/7,,
2016/11/8,,
